ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,75.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,75.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,50.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,62.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,50.0%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,37.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,37.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,38.4%,37.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,75.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,63.3%,50.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,37.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,50.0%
